"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","OperatingExpenses","2022","FY","10-K","2020-02-03","2021-01-31","363","26575000000","2023-03-15","0000354950-23-000059","CY2020"
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q1","10-Q","2021-02-01","2021-05-02","90","6961000000","2021-05-25","0000354950-21-000147",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q1","10-Q","2021-02-01","2021-05-02","90","6961000000","2022-05-24","0000354950-22-000158","CY2021Q1"
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q2","10-Q","2021-02-01","2021-08-01","181","13987000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q2","10-Q","2021-02-01","2021-08-01","181","13987000000","2022-08-23","0000354950-22-000193",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q2","10-Q","2021-05-03","2021-08-01","90","7026000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q2","10-Q","2021-05-03","2021-08-01","90","7026000000","2022-08-23","0000354950-22-000193","CY2021Q2"
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q3","10-Q","2021-02-01","2021-10-31","272","20755000000","2021-11-23","0000354950-21-000234",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q3","10-Q","2021-02-01","2021-10-31","272","20755000000","2022-11-22","0000354950-22-000239",""
"HD","The Home Depot, Inc.","OperatingExpenses","2021","Q3","10-Q","2021-08-02","2021-10-31","90","6768000000","2021-11-23","0000354950-21-000234",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q3","10-Q","2021-08-02","2021-10-31","90","6768000000","2022-11-22","0000354950-22-000239","CY2021Q3"
"HD","The Home Depot, Inc.","OperatingExpenses","2021","FY","10-K","2021-02-01","2022-01-30","363","27792000000","2022-03-23","0000354950-22-000070",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","FY","10-K","2021-02-01","2022-01-30","363","27792000000","2023-03-15","0000354950-23-000059",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","FY","10-K","2021-02-01","2022-01-30","363","27792000000","2024-03-13","0000354950-24-000062","CY2021"
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q1","10-Q","2022-01-31","2022-05-01","90","7216000000","2022-05-24","0000354950-22-000158",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q1","10-Q","2022-01-31","2022-05-01","90","7216000000","2023-05-23","0000354950-23-000144","CY2022Q1"
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q2","10-Q","2022-01-31","2022-07-31","181","14489000000","2022-08-23","0000354950-22-000193",""
